datetime,Latitude,Longitude,geometry
2020-04-14,84.33106662499999,14.656320583333335,POINT (14.65632058333333 84.33106662499999)
2020-04-15,84.32341899999999,13.888317249999998,POINT (13.88831725 84.32341899999999)
2020-04-16,84.33756412499999,13.195807666666665,POINT (13.19580766666667 84.33756412499999)
2020-04-17,84.41800954166666,13.657954416666664,POINT (13.65795441666666 84.41800954166666)
2020-04-18,84.475755125,13.923847666666662,POINT (13.92384766666666 84.47575512500001)
2020-04-19,84.582289,14.644675458333339,POINT (14.64467545833334 84.582289)
2020-04-20,84.53070487500001,14.647538625000003,POINT (14.647538625 84.53070487500001)
2020-04-21,84.29897933333332,15.230009791666667,POINT (15.23000979166667 84.29897933333332)
2020-04-22,84.12830595833334,15.911221624999998,POINT (15.911221625 84.12830595833334)
2020-04-23,84.0745725,16.035149708333336,POINT (16.03514970833334 84.0745725)
2020-04-24,84.05261120833333,15.902945624999996,POINT (15.902945625 84.05261120833333)
2020-04-25,84.00052316666667,15.614476291666671,POINT (15.61447629166667 84.00052316666667)
2020-04-26,83.93059233333335,15.517145083333332,POINT (15.51714508333333 83.93059233333335)
2020-04-27,83.93768483333335,15.665999249999997,POINT (15.66599925 83.93768483333335)
2020-04-28,84.02540366666669,16.486032250000004,POINT (16.48603225 84.02540366666669)
2020-04-29,84.00553450000001,17.19883875,POINT (17.19883875 84.00553450000001)
2020-04-30,83.93477991666667,17.46522679166667,POINT (17.46522679166667 83.93477991666667)
2020-05-01,83.91873491666668,17.644304708333333,POINT (17.64430470833333 83.91873491666668)
2020-05-02,83.90334987499999,17.58107916666667,POINT (17.58107916666667 83.90334987499999)
2020-05-03,83.88568029166667,17.927845166666668,POINT (17.92784516666667 83.88568029166667)
2020-05-04,83.90504237500001,18.3097345,POINT (18.3097345 83.90504237500001)
2020-05-05,83.91936666666666,18.1017885,POINT (18.1017885 83.91936666666666)
2020-05-06,83.92144808333333,17.664465875,POINT (17.664465875 83.92144808333333)
2020-05-07,83.93001620833333,16.698524708333334,POINT (16.69852470833333 83.93001620833333)
2020-05-08,83.85880158333335,15.250702916666668,POINT (15.25070291666667 83.85880158333335)
2020-05-09,83.77219112499999,14.039070833333332,POINT (14.03907083333333 83.77219112499999)
2020-05-10,83.65859725000001,13.480775958333334,POINT (13.48077595833333 83.65859725000001)
2020-05-11,83.50325933333333,13.109468208333332,POINT (13.10946820833333 83.50325933333333)
2020-05-12,83.41837324999999,12.623252874999999,POINT (12.623252875 83.41837324999999)
2020-05-13,83.37172158333333,10.727498458333335,POINT (10.72749845833333 83.37172158333333)
2020-05-14,83.38526270833333,9.895496041666664,POINT (9.895496041666664 83.38526270833333)
2020-05-15,83.38646212499998,9.346201,POINT (9.346201000000001 83.38646212499998)
2020-05-16,83.39054083333333,9.106366375,POINT (9.106366375 83.39054083333333)
2020-05-17,83.36726616666668,9.023436916666666,POINT (9.023436916666666 83.36726616666668)
